Name,Ident,Duplicate
Abel Tasman                   ,MAR_D23905_1164               ,0  
Acasta                        ,NMM RUSI/NM/180/6             ,0  
Acasta                        ,NMM RUSI/NM/180/9             ,0  
Active                        ,NMM ADM/L/A17                 ,0  
Active                        ,NMM ADM/L/A19                 ,0  
Adamant                       ,NMM ADM/L/A22                 ,0  
Adamant                       ,NMM ADM/L/A23                 ,0  
Adder                         ,MAR_D23905_20                 ,0  
Admiraal de Ruyter            ,VOC_152_11420                 ,0  
Admiraal Evertsen             ,A2419(1)_1-300                ,0  
Admiraal Jan Evertsen         ,"Extract P, Reis 9a, pp 110-118",0  
Admiraal Jan Evertsen         ,"Extract P, Reis 9d, pp 138-145",0  
Admiraal Jan Evertsen         ,"Extract P, Reis 9e, pp 147-154",0  
Admiraal Jan Evertsen         ,"Extract P, Reis 9f, pp 155-162",0  
Admiraal Jan Evertsen         ,"Extract P, Reis 9g, pp 164-172",0  
Admiral Pocock                ,BL L/MAR/B/498B               ,0  
Admiral Pocock                ,BL L/MAR/B/498G               ,0  
Admiral Vernon                ,BL L/MAR/B/623C               ,0  
Africa                        ,VOC_152_5055                  ,0  
Africaensche Galey            ,MCC_20_204                    ,0  
Agatha                        ,GAD_156_1                     ,0  
Ajax                          ,MAR_D23905_30                 ,0  
Ajax                          ,MAR_D23905_31                 ,0  
Ajax                          ,MAR_D23905_32                 ,0  
Ajax                          ,MAR_D23905_39                 ,0  
Ajax                          ,MAR_D23905_40                 ,0  
Ajax                          ,NMM ADM/L/A56                 ,0  
Akerendam                     ,VOC_152_5130                  ,0  
Alarm                         ,NMM ADM/L/A60                 ,0  
Alarm                         ,NMM ADM/L/A62                 ,0  
Albatross                     ,NMM ADM/L/A67                 ,0  
Albatross                     ,NMM ADM/L/A68                 ,0  
Alborough                     ,NMM ADM/L/A82                 ,0  
Albrecht Beijling             ,"Extract V, Reis 17, pp 150-169",0  
Alderney                      ,NMM ADM/L/A90                 ,0  
Alert                         ,NMM ADM/L/A259B               ,0  
Alfred                        ,BL L/MAR/B/140F               ,0  
Alfred                        ,BL L/MAR/B/140G               ,0  
Alfred                        ,BL L/MAR/B/140H               ,0  
Algiers                       ,MAR_D23905_59                 ,0  
Algiers                       ,MAR_D23905_60                 ,0  
Alkemade                      ,FAM_1224_132                  ,0  
Allarm                        ,ADM_177_2414                  ,0  
Alligator                     ,NMM ADM/L/A261                ,0  
Amazon                        ,NMM ADM/L/A106                ,0  
Amazon                        ,NMM ADM/L/A262                ,0  
Amazone                       ,ADM_193_78                    ,0  
Amazone                       ,FAM_1192_174                  ,0  
Ambarawa                      ,"Extract M, Reis 1             ",0  
Ambon                         ,MAR_D23905_90                 ,0  
Ambuscade                     ,NMM ADM/L/A111                ,0  
Amicitia                      ,"Extract T, Reis 20            ",0  
Amicitia                      ,"Extract T, Reis 22            ",0  
Amphion                       ,NMM ADM/L/A120                ,0  
Amphitrite                    ,Cote - 4/JJ/23                ,0  
Amphitrite                    ,"Extract O, Reis 19, p.179-195 ",0  
Amphitrite                    ,MAR_D23905_99                 ,0  
Amphitrite                    ,NMM ADM/L/A123                ,0  
Amstel                        ,"Extract 17+, Reis 21          ",0  
Amstel                        ,"Extract O, Reis 21            ",0  
Amstel                        ,"Extract T, Reis 26            ",0  
Amsterdam                     ,MAR_D23905_145                ,0  
Amsterdam                     ,MAR_D23905_146                ,0  
Amsterdam                     ,MAR_D23905_148                ,0  
Amsterdam                     ,"Extract E, Reis 07, p.67-86   ",1  
ANDALUZ                       ,MS. 232                       ,0  
Andromache                    ,NMM ADM/L/A264                ,0  
Anna                          ,D-IV_HAZE                     ,0  
Anna                          ,"Extract O, Reis 6, pp. 28a-32a",0  
Anna                          ,"Extract V, Reis 22, pp 237-241",0  
Antelope                      ,NMM ADM/L/A143                ,0  
Anthony                       ,"Extract B, Reis 17            ",0  
Anthony                       ,"Extract B, Reis 19            ",0  
Anthony                       ,"Extract C, Reis 08, p.115-142 ",0  
Anthony                       ,"Extract C, Reis 12, p179-187  ",0  
Anthony                       ,"Extract D, Reis 1             ",0  
Anthony                       ,"Extract D, Reis 2             ",0  
Anthony                       ,"Extract W, Reis 12            ",0  
Anthony                       ,"Extract W, Reis 23. pp 183-200",0  
Aolus                         ,NMM ADM/L/E57                 ,0  
Arend                         ,ADM_177_1189                  ,0  
Arend                         ,ADM_177_1220                  ,0  
Arend                         ,FAM_1225_16                   ,0  
Arend                         ,MAR_D23318_122                ,0  
Arend                         ,MAR_D23905_201                ,0  
Arend                         ,MAR_D23905_202                ,0  
Arend                         ,MAR_D23905_203                ,0  
Arend                         ,MAR_D23905_206                ,0  
Arethusa                      ,NMM ADM/L/A82                 ,0  
Argo                          ,MAR_D23905_214                ,0  
Argo                          ,MAR_D23905_215                ,0  
Argo                          ,NMM ADM/L/A168                ,0  
Argo                          ,NMM ADM/L/A169                ,0  
Argo                          ,NMM ADM/L/A170                ,0  
Argo                          ,"Extract T, Reis 5             ",1  
Aruba                         ,MAR_D23905_243                ,0  
Arundel                       ,NMM ADM/L/A193                ,0  
Asia                          ,BL L/MAR/B/24F                ,0  
Asia                          ,BL L/MAR/B/24G                ,0  
Asia                          ,NMM ADM/L/A195                ,0  
Asia                          ,NMM ADM/L/A196                ,0  
Asia                          ,NMM ADM/L/A266                ,0  
Asia                          ,NMM ADM/L/A914                ,0  
Assistance                    ,NMM ADM/L/A207                ,0  
Assistance                    ,NMM ADM/L/A209                ,0  
Assurance                     ,NMM ADM/L/A217                ,0  
Assurance                     ,NMM ADM/L/A266                ,0  
ASTUTO                        ,MS. 925                       ,0  
ASTUTO                        ,MS. 924                       ,1  
ASTUTO                        ,MS. 941                       ,2  
ASTUTO                        ,MS. 1541                      ,3  
ASTUTO                        ,MS. 2226                      ,4  
ASTUTO                        ,MS. 923                       ,5  
ASTUTO                        ,MS. 926                       ,6  
ASTUTO                        ,MS. 925                       ,7  
ASTUTO                        ,MS. 940                       ,8  
ASUNCI”N                      ,MS. 166_005                   ,0  
Atalanta                      ,NMM ADM/L/A221                ,0  
Atalante                      ,MAR_._88                      ,0  
Atalante                      ,MAR_D23905_261                ,0  
Atlanta                       ,NMM ADM/L/A220                ,0  
Atlas                         ,BL L/MAR/B/27C                ,0  
ATREVIDA Y DESCUBIERTA        ,MS. 272 DOC 16                ,0  
Attelante                     ,FAM_C22253_10                 ,0  
AUDAZ                         ,1177 (40).1                   ,0  
Augusta                       ,BL L/MAR/B/629D               ,0  
Auguste                       ,FAM_C22253_13                 ,0  
Aurora                        ,BL L/MAR/B/228A               ,0  
Aurora                        ,"Extract C, Reis 16, p.198-209 ",0  
Aurora                        ,NMM ADM/L/A237                ,0  
Azia                          ,"Extract T, Reis 21a, p.192-202",0  
Azia                          ,"Extract T, Reis 21b, p.203-210",0  
Azia                          ,"Extract T, Reis 21c, p.211-220",0  
Badger                        ,NMM ADM/L/B3                  ,0  
Baleine                       ,NMM ADM/L/B6                  ,0  
Banka                         ,MAR_D23905_435                ,0  
Batavia                       ,"Extract B, Reis 15, pp 241    ",0  
Batavia                       ,"Extract B, Reis 20            ",0  
Batavia                       ,"Extract C, Reis 11, p169-179  ",0  
Batavia                       ,"Extract C, Reis 20, pp.250-257",0  
Batavia                       ,"Extract C, Reis 7, pp. 106-114",0  
Batavia                       ,"Extract D, Reis 3             ",0  
Batavia                       ,"Extract L, Reis 3             ",0  
Batavia                       ,MAR_D23905_439                ,0  
Bato                          ,MAR_D23318_114                ,0  
Beaver                        ,NMM ADM/L/B30                 ,0  
Beaver                        ,NMM ADM/L/B31                 ,0  
Beaver                        ,NMM ADM/L/B33                 ,0  
Belle Isle                    ,NMM ADM/L/B54                 ,0  
Belleisle                     ,NMM ADM/L/B52                 ,0  
Bellona                       ,ADM_177_1204A                 ,0  
Bellona                       ,BL L/MAR/B/353A               ,0  
Bellona                       ,BL L/MAR/B/353B               ,0  
Bellona                       ,BL L/MAR/B/353C               ,0  
Bellona                       ,MAR_D23318_37                 ,0  
Bellona                       ,MAR_D23905_490                ,0  
Bellona                       ,MAR_D23905_492                ,0  
Bellona                       ,MMR_WAE188                    ,0  
Bellona                       ,"Extract T, Reis 17            ",1  
Bellona                       ,"Extract 17+, Reis 19          ",2  
Belmont                       ,BL L/MAR/B/444D               ,0  
Bittern                       ,NMM ADM/L/B94                 ,0  
Blanche                       ,NMM ADM/L/B97                 ,0  
Blandford                     ,NMM ADM/L/B103                ,0  
Blonde                        ,NMM ADM/L/B116                ,0  
Boreas                        ,ADM_193_16                    ,0  
Boreas                        ,"Extract T, Reis 13            ",0  
Boreas                        ,"Extract T, Reis 16            ",0  
Boreas                        ,"Extract V, Reis 6, pp. 48-52  ",0  
Boreas                        ,"Extract V, Reis 8, pp. 66-71  ",0  
Boreas                        ,"Extract X, Reis 5, p1-10      ",0  
Boreas                        ,NMM ADM/L/B134                ,0  
Boreas                        ,NMM ADM/L/B136                ,0  
Boreas                        ,"Extract X, Reis 8             ",1  
Borssele                      ,VOC_152_11421                 ,0  
Bos en Hoven                  ,VOC_152_5130                  ,0  
Boston                        ,NMM ADM/L/B138                ,0  
Botland                       ,GAA_Bibliotheek_M951_59       ,0  
Boyne                         ,NMM ADM/L/B149                ,0  
Braave                        ,MAR_D23318_33                 ,0  
Brak                          ,ADM_177_1196                  ,0  
Bridgewater                   ,BL L/MAR/B/42I                ,0  
Bristol                       ,NMM ADM/L/B125B               ,0  
Britannia                     ,BL L/MAR/B/285CCC             ,0  
Broederslust                  ,MMR_H692                      ,0  
Bromo                         ,"Extract V, pp. 13-16          ",0  
Bromo                         ,"Extract V, pp. 8-12           ",0  
Bromo                         ,"Extract V, Reis 03, pp. 17-21 ",0  
Brune                         ,NMM ADM/L/B94                 ,0  
Brutus                        ,MAR_D23318_93                 ,0  
Buckingham                    ,NMM ADM/L/B195                ,0  
BUEN CONSEJO                  ,MS. 272 DOC 11                ,0  
Buitenzorg                    ,"Extract Y, pp 278-283         ",0  
Buitenzorg                    ,"Extract Y, Reis 25            ",0  
Buitenzorg                    ,"Extract Y, Reis 5, pp 39-45   ",0  
Bulldog                       ,NMM ADM/L/B200                ,0  
Burford                       ,NMM ADM/L/B212                ,0  
Burford                       ,NMM ADM/L/B214                ,0  
Busbridge                     ,BL L/MAR/B/413A               ,0  
Busbridge                     ,BL L/MAR/B/413B               ,0  
Busbridge                     ,BL L/MAR/B/413C               ,0  
Cadmus                        ,A2419(1)_1-300                ,0  
Calcutta                      ,BL L/MAR/B/308M               ,0  
Calypso                       ,NMM ADM/L/C3                  ,0  
Camel                         ,NMM ADM/L/C20                 ,0  
Camel                         ,NMM ADM/L/C21                 ,0  
Candia                        ,I-37                          ,0  
Caroline                      ,NMM ADM/L/C59                 ,0  
